Si. No (Col. 1) ,Category ,State/UT (Col. 2),"Cyber Blackmailing/ Threatening/ Harassment (Sec.506,503, 384 IPC r/w IT Act - (Col. 3) ",Fake Profile (IT Act r/w IPC/SLL) - (Col. 4) ,Cyber Pornography/ Hosting or Publishing Obscene Sexual Materials depicting children (Sec.67B of IT Act r/w other IPC/SLL) - (Col. 5) ,Cyber Stalking/ Bullying (Sec.354D IPC r/w IT Act) - (Col. 6) ,Internet Crimes through Online Games etc (Sec.305 IPC r/w IT Act) - (Col. 7) ,Other Cyber Crimes against Children - (Col. 8) ,Total Cyber crimes against Children - (Col. 9) 
1,State,Andhra Pradesh,1,0,15,32,0,4,52
2,State,Arunachal Pradesh,0,0,0,0,0,0,0
3,State,Assam,0,0,21,0,0,24,45
4,State,Bihar,0,0,1,0,0,0,1
5,State,Chhattisgarh,0,1,3,3,0,14,21
6,State,Goa,0,0,0,0,0,3,3
7,State,Gujarat,0,0,1,4,0,27,32
8,State,Haryana,0,0,16,2,0,15,33
9,State,Himachal Pradesh,0,0,17,0,0,2,19
10,State,Jharkhand,0,0,0,0,0,4,4
11,State,Karnataka,0,0,122,0,0,22,144
12,State,Kerala,0,0,101,3,0,22,126
13,State,Madhya Pradesh,0,0,20,6,0,13,39
14,State,Maharashtra,1,0,123,69,0,14,207
15,State,Manipur,0,0,3,0,0,0,3
16,State,Meghalaya,0,0,0,0,0,0,0
17,State,Mizoram,0,0,0,0,0,0,0
18,State,Nagaland,0,0,0,0,0,0,0
19,State,Odisha,0,0,71,0,0,0,71
20,State,Punjab,0,0,8,0,0,2,10
21,State,Rajasthan,0,0,6,1,0,17,24
22,State,Sikkim,0,0,0,0,0,0,0
23,State,Tamil Nadu,0,0,28,0,0,7,35
24,State,Telangana,1,0,7,1,0,0,9
25,State,Tripura,0,0,0,0,0,0,0
26,State,Uttar Pradesh,0,0,161,14,0,22,197
27,State,Uttarakhand,0,0,11,0,0,0,11
28,State,West Bengal,0,0,0,2,0,4,6
Total State(s),Total State(s),Total State(s),3,1,735,137,0,216,1092
29,Union Territories,A & N Islands,0,0,1,0,0,0,1
30,Union Territories,Chandigarh,0,0,1,0,0,2,3
31,Union Territories,D & N Haveli and Daman & Diu,0,0,0,0,0,0,0
32,Union Territories,Delhi,0,0,1,3,0,1,5
33,Union Territories,Jammu & Kashmir,0,0,0,0,0,1,1
34,Union Territories,Ladakh,0,0,0,0,0,0,0
35,Union Territories,Lakshadweep,0,0,0,0,0,0,0
36,Union Territories,Puducherry,0,0,0,0,0,0,0
Total UT(s),Total UT(s),Total UT(s),0,0,3,3,0,4,10
Total All India,Total All India,Total All India,3,1,738,140,0,220,1102
