,states,class1,class2,class3,class5,class4,class6,class7,class8,class9
0,Jammu & Kashmir,247385,217456,211190,208498,210322,193748,190603,188738,172226
1,Himachal Pradesh,115922,115300,112316,116315,116675,115031,112512,110195,126051
2,Punjab,485022,459313,480040,474251,465464,465060,452575,509903,463564
3,Chandigarh,17216,18046,19161,19311,19973,21609,21799,21666,24109
4,Uttarakhand,225521,213328,210308,206051,207223,198243,197084,196462,192997
5,Haryana,517227,530943,535886,509247,493170,490663,485510,483264,486403
6,Delhi,327883,348396,361131,373324,400989,388649,376050,374861,441953
7,Rajasthan,1802561,1688531,1626011,1563161,1558360,1412703,1345196,1319525,1362047
8,Uttar Pradesh,5148352,4949788,4805021,4494643,4313135,3620620,3672900,3684475,3059964
9,Bihar,2551956,2564873,2461379,2601198,2895787,2271982,2280794,2145742,1618243
10,Sikkim,9353,9401,9442,9763,10690,10518,10676,11606,15226
11,Arunachal Pradesh,42815,35526,33296,30997,28005,30774,29150,26335,25033
12,Nagaland,41373,38183,37197,34787,34784,34233,32422,32497,33266
13,Manipur,81932,70241,63699,60239,57744,52559,51420,51865,46192
14,Mizoram,33410,26721,25659,25327,24395,24141,22784,21104,21647
15,Tripura,68428,64592,65682,66173,63715,64424,63374,64019,70005
16,Meghalaya,137742,110833,104914,94702,84076,87920,77965,72262,64888
17,Assam,841190,740251,710854,692808,691602,677284,634773,603194,570605
18,West Bengal,1676849,1679038,1656912,1655155,1514268,1374652,1260613,1512745,1560439
19,Jharkhand,794262,795636,729376,777476,789411,677965,662406,646537,520651
20,Odisha,703129,709492,736672,731718,697808,698808,691796,695460,648619
21,Chhattisgarh,543058,541748,534685,518773,513220,497662,487020,496699,503661
22,Madhya Pradesh,1569752,1504962,1578555,1505057,1456399,1457834,1411521,1426778,1307358
23,Gujarat,1149564,1125360,1105841,1078379,1069978,986529,1054430,1044098,994608
24,Daman & Diu,4110,3991,3983,3781,3677,3677,3479,3456,3866
25,Dadra & Nagar Haveli,9062,8520,8636,7923,8982,7680,7781,4176,8507
26,Maharashtra,1899470,1964323,1977213,2005536,1998966,1974024,1950828,1923182,1908976
27,Andhra Pradesh,791870,750992,757627,739238,734740,723026,708631,700446,679648
28,Karnataka,1078897,1110317,1067436,1091936,1095691,1071967,1045504,1010326,957258
29,Goa,25045,25718,25107,24198,24315,24212,23918,23865,27815
30,Lakshadweep,1012,1025,1062,963,1062,759,528,1232,896
31,Kerala,490659,503745,500811,490797,497544,494487,492324,499833,501914
32,Tamilnadu,1009625,1037150,1078577,1044987,1042541,1042142,1057891,1038130,1029445
33,Puducherry,19504,19943,20833,20379,20898,20909,20919,20832,21325
34,Andaman & Nicobar Islands,6029,5799,5863,5977,5938,6107,6086,5976,7462
35,Telangana,605586,623571,637563,628572,614862,586231,577412,560417,545174
36,Ladakh,5291,4666,4356,4306,4274,4127,3977,3876,3599
