,states,class1girls,class2girls,class3girls,class5girls,class4girls,class6girls,class7girls,class8girls,class9girls
0,Jammu & Kashmir,118669,103644,100823,99685,100322,92502,91278,89787,80764
1,Himachal Pradesh,55108,55215,53391,55499,55699,55180,53363,51872,58384
2,Punjab,223647,209507,220238,218052,213931,212330,205767,235100,206010
3,Chandigarh,8147,8482,9020,9005,9273,10089,10083,9788,10705
4,Uttarakhand,105370,99480,98557,96531,97591,93485,93566,93396,90387
5,Haryana,233774,239959,243177,229714,220632,220670,218673,217421,214613
6,Delhi,155312,162785,169282,173941,186484,183230,175696,174602,210175
7,Rajasthan,850088,804104,768166,735217,733737,654250,617999,604055,608236
8,Uttar Pradesh,2474011,2379436,2318754,2175268,2090124,1755501,1783246,1788395,1393952
9,Bihar,1222744,1247320,1200218,1284736,1449995,1161310,1161177,1091531,813026
10,Sikkim,4387,4436,4441,4628,5017,5124,5332,5804,7728
11,Arunachal Pradesh,20918,17559,16587,15324,13972,15808,14853,13586,13059
12,Nagaland,20073,18524,18189,17279,16986,16901,16354,16492,16665
13,Manipur,39982,34184,31213,29385,28162,25725,25653,25667,22727
14,Mizoram,15977,13029,12531,12357,11903,11662,11224,10370,10779
15,Tripura,33717,31626,32204,33049,31218,31765,31419,32062,34706
16,Meghalaya,67122,54206,51748,47772,42905,45661,41413,38682,35213
17,Assam,410898,364565,351483,344419,345903,346201,327922,315058,304231
18,West Bengal,819127,820828,810957,810635,753440,687594,630167,784308,839511
19,Jharkhand,379017,384033,350920,378005,388890,340644,335389,326865,261699
20,Odisha,340189,341910,356212,354644,337229,336887,333110,334418,313462
21,Chhattisgarh,264259,264642,260792,254144,251543,244854,240227,246805,251258
22,Madhya Pradesh,751968,721142,757522,723297,696251,696637,674837,679161,598072
23,Gujarat,541382,530503,520242,508069,504440,463190,495157,484722,423930
24,Daman & Diu,1974,1842,1809,1762,1736,1715,1641,1621,1745
25,Dadra & Nagar Haveli,4408,4074,4069,3646,4248,3651,3676,1898,3873
26,Maharashtra,904500,930580,924993,935798,932078,926710,915058,901441,881661
27,Andhra Pradesh,377688,362172,355722,339473,350370,347299,341263,338603,328508
28,Karnataka,519790,531855,508414,525086,529591,520892,507830,492132,453273
29,Goa,12073,12500,12196,11533,11856,11658,11531,11432,12640
30,Lakshadweep,461,514,529,481,457,406,267,600,476
31,Kerala,239213,245963,244732,240266,243008,242092,240639,244020,244237
32,Tamilnadu,486201,499964,520435,504558,504501,505357,512771,505356,497868
33,Puducherry,9433,9596,10012,9891,10158,9994,10155,10212,10332
34,Andaman & Nicobar Islands,2953,2846,2857,2866,2948,3025,3055,2901,3469
35,Telangana,290119,298640,306554,300993,294677,283453,280770,273532,266891
36,Ladakh,2514,2312,2174,2145,2173,2122,2029,1957,1900
